createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
19488486,2024-3-22,0x1d08217aa8225afe10507e0eb89bd8152f043bc2,2.37e-07,4.2e-15,8.4e-15,2.95243e-11,0.0,23,2.37e-07,4.2e-15,0x5bc0d7b14707f45fbab025475b30ed0fa2f034bc,  Gaimin    , GMRX            ,2.37e-07,23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x5bc0d7b14707f45fbab025475b30ed0fa2f034bc,  Gaimin    , GMRX            ,2.37e-07,23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488217,2024-3-22,0x65e1ae4721c65afb87a23bfb2348f06fa4f990a9,2.37e-07,4.2e-15,8.4e-15,2.90643e-11,0.0,24,2.37e-07,4.2e-15,0x6550be72c833c08f8830e3d09779fcb96c7732e9, Simplify 314    , SIMP            ,2.37e-07,24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x6550be72c833c08f8830e3d09779fcb96c7732e9, Simplify 314    , SIMP            ,2.37e-07,24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488199,2024-3-22,0x35f3fe60dc1d436bdefade9b7b9f779fa6911d00,848267714.9141362,0.9322407080759691,0.9322407080759691,3510.060855569419,0.8818163074019431,155,848267714.9141362,0.9322407080759691,0x163176802aaf9463e708fe7a6d6d57410e618152,Hippocratic AI,HAI,848267714.9141362,155,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x163176802aaf9463e708fe7a6d6d57410e618152,Hippocratic AI,HAI,848267714.9141362,155,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488142,2024-3-22,0x1a5134daf42340f89a8229128517c6822e026578,2.0015304411e-06,1769800864521027.5,4.0030608822e-06,0.0141314023238012,1.8708286933869696,41,1769800864521027.5,2.0015304411e-06,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xf34839a7431d6c70673f3a3bcfb589c042fd219d,Dogzilla,Dogzilla,1769800864521027.5,41,0xf34839a7431d6c70673f3a3bcfb589c042fd219d,Dogzilla,Dogzilla,1769800864521027.5,41,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488105,2024-3-22,0xb74ee901c2b0a04d75d38f7f4722e8a848e613b9,1061472681.0187464,37.12689351833062,74.25378703666125,283713.129421473,166625.183175703,9113,1061472681.0187464,37.12689351833062,0x7ae0f19d2ae2f490e710579284a58000d4e8c85f,SharkBee Coin,SBEE,1061472681.0187464,9113,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x7ae0f19d2ae2f490e710579284a58000d4e8c85f,SharkBee Coin,SBEE,1061472681.0187464,9113,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19488101,2024-3-22,0xf1b7dab1df71bf75d1e60bc16423a371dd9d80b8,2.33e-07,4.3e-15,8.6e-15,3.03122e-11,0.0,22,2.33e-07,4.3e-15,0x08299a2bd9979fe6ea5051ea110278186c15dec1,  Pikamoon    , PIKA            ,2.33e-07,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x08299a2bd9979fe6ea5051ea110278186c15dec1,  Pikamoon    , PIKA            ,2.33e-07,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487953,2024-3-22,0x68be2a884d652d9aafdd693477e12389f0ab5cbb,5.47829e-11,0.0,0.0,3.5e-15,0.0,26,5.47829e-11,0.0,0x138490c1c6c074d7bc81040bfb9ef3a1fc350a66,PEPE PUMP,PEPEP,5.47829e-11,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x138490c1c6c074d7bc81040bfb9ef3a1fc350a66,PEPE PUMP,PEPEP,5.47829e-11,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487934,2024-3-22,0xbe4f22d5876752ec812f61fd018b95e77954791e,100075982842.01382,0.0010040981470026,0.0010040981470026,3.543027048269825,10000.000000000002,9,100075982842.01382,0.0010040981470026,0x34804c6b506c6e6b8f1a6925a0cbfab7e67a5976,MiladyWifHat,MIF,100075982842.01382,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x34804c6b506c6e6b8f1a6925a0cbfab7e67a5976,MiladyWifHat,MIF,100075982842.01382,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487819,2024-3-22,0xf0a0602c32c3b5f0dc8c7087c2422d2c0ec4ae15,1934325821163.7024,0.0005005454379315,0.0005005454379315,1.821514849177554,30822.07001484488,35,1934325821163.7024,0.0005005454379315,0x393150326998e07f1d4b3d013db62c5d0890352a,Espresso Systems,CAPE,1934325821163.7024,35,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0x393150326998e07f1d4b3d013db62c5d0890352a,Espresso Systems,CAPE,1934325821163.7024,35,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
19487771,2024-3-22,0x1557797a01bbc8a36d618906c9a60ed6228709d8,2.87828e-11,0.0,0.0,3.3e-15,0.0,12,2.87828e-11,0.0,0xa16bb99479fa42450442a1af05be48ac4f17caf4,Coast AI,COAST,2.87828e-11,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525,0xa16bb99479fa42450442a1af05be48ac4f17caf4,Coast AI,COAST,2.87828e-11,12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294788.1314024973,168239525
