,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount
10,20011003,2024-6-3,0x425a516d731374b3f0bc436625a8ebd963259541,16772419.391810767,4.086626299057382,8.173252598114765,31157.648384371096,8236.133801730031,57,16772419.391810767,4.086626299057382,0xab58098e6b4c92a5638b52ec7b72176fba22663c,roaring kitty in a gamestop world,REKT,16772419.391810767,57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xab58098e6b4c92a5638b52ec7b72176fba22663c,roaring kitty in a gamestop world,REKT,16772419.391810767,57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
11,20010993,2024-6-3,0x653086a0f0906bc6358177f1d04251124c701c49,3180210.484638122,0.0,0.0,3.8e-15,0.0,5,3180210.484638122,0.0,0x21803dd53d5d63dbf90676ab15b93da42cb321d7,Roaring Trump,ROARTRUMP,3180210.484638122,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x21803dd53d5d63dbf90676ab15b93da42cb321d7,Roaring Trump,ROARTRUMP,3180210.484638122,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
12,20010958,2024-6-3,0x98c4057d38b778173408d0c0f0840b6612bf857a,112717129386.9654,2.9071482331770926,5.814296466354185,22157.844591059828,17.782893465350345,375,112717129386.9654,2.9071482331770926,0x7f04d8b87373d835f9ab0adfeb93be3c0c4dd116,Roaring Kitty,KITTY,112717129386.9654,375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x7f04d8b87373d835f9ab0adfeb93be3c0c4dd116,Roaring Kitty,KITTY,112717129386.9654,375,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
13,20010952,2024-6-3,0x395df6d504fd138b1d41a16e433390a9137738dc,4256416336.480373,11.752747821763226,23.50549564352645,89617.17780870816,223606.79774997896,51,4256416336.480373,11.752747821763226,0xb2832e3db73279abca71e939ccd8ae5fe2064765,Roaring Trump,TRUMPEOW,4256416336.480373,51,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xb2832e3db73279abca71e939ccd8ae5fe2064765,Roaring Trump,TRUMPEOW,4256416336.480373,51,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
14,20010905,2024-6-3,0xacf57523eb51f432243b5b2ceb5d8e1bd355ffa8,706299208.6785058,21.2666200549417,42.5332401098834,162171.66523288944,3.872983346207416,34,706299208.6785058,21.2666200549417,0x0567a5f5c1aaeee03ced7e4594aec2221d3fb9ef,CHECKS,CHECKS,706299208.6785058,34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x0567a5f5c1aaeee03ced7e4594aec2221d3fb9ef,CHECKS,CHECKS,706299208.6785058,34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
15,20010879,2024-6-3,0xd329db938b0e808750ca0d0abf7f8693eb67887a,1.0057109238364584e+16,6.40376868451e-05,6.40376868451e-05,0.2441792037012128,25.12041002850073,57,1.0057109238364584e+16,6.40376868451e-05,0x440e6ca1779977b4d225b266262a9e75ce31a0b4,GameStop2.0,GME2.0,1.0057109238364584e+16,57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x440e6ca1779977b4d225b266262a9e75ce31a0b4,GameStop2.0,GME2.0,1.0057109238364584e+16,57,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
16,20010879,2024-6-3,0x5de22db7ad8a5fa414027fed6d3838fb4626fb18,401529640094442.3,0.5130341382866986,0.5130341382866986,1955.945163948536,14317821.063276352,7,401529640094442.3,0.5130341382866986,0x290ee7e48b499c77f017669356f38f72a8b98639,PEPE GO TO MOON,PEPEMOON,401529640094442.3,7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x290ee7e48b499c77f017669356f38f72a8b98639,PEPE GO TO MOON,PEPEMOON,401529640094442.3,7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
17,20010859,2024-6-3,0xda1d6181ee8ba717054d15c7d8dbbf27d3ecd639,711017297.3450433,20.075053124702553,40.150106249405106,153060.69146945904,3.776175313726839,33,711017297.3450433,20.075053124702553,0x18410adee1f979772bf68117eb66ede8f220e98c,GAZA,GAZA,711017297.3450433,33,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x18410adee1f979772bf68117eb66ede8f220e98c,GAZA,GAZA,711017297.3450433,33,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
18,20010851,2024-6-3,0xcf60045f5067289ec0bd3639e8876bad0327c341,45484543.28258613,16.27584753683313,32.55169507366626,124107.66070160067,27175.816455076376,43,45484543.28258613,16.27584753683313,0xb80a0407e2b25dc07d68797d7363548b949a149c,CGLPhone,CGL,45484543.28258613,43,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xb80a0407e2b25dc07d68797d7363548b949a149c,CGLPhone,CGL,45484543.28258613,43,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
19,20010838,2024-6-3,0x33287dabdc3a1a383c17949cb54f2cf5e3d8fad9,135098939.15023574,3.5326255722725066,7.065251144545013,26925.07132671178,0.6829795545988171,347,135098939.15023574,3.5326255722725066,0x40a0854beff26112fe11d78b6a81da483507435a,PEPE WEIRD,PEPEW,135098939.15023574,347,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x40a0854beff26112fe11d78b6a81da483507435a,PEPE WEIRD,PEPEW,135098939.15023574,347,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
20,20010829,2024-6-3,0x4cb71216debc29a551775e40877c84400efe821c,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0xa4f9295227d098cf4803b75876519eb1db69f602,PEPEGirl,PEPEGirl,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xa4f9295227d098cf4803b75876519eb1db69f602,PEPEGirl,PEPEGirl,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
21,20010817,2024-6-3,0x143044edeaff52e2a1bcbd951560ad79369a67ab,0.0,0.000209563,0.0,3.81e-14,0.0,34,0.000209563,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xd154f1f2f5fbab97c848e2f90491555be987390e,Brett,BRETT,0.000209563,34,0xd154f1f2f5fbab97c848e2f90491555be987390e,Brett,BRETT,0.000209563,34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
22,20010806,2024-6-3,0x2cc6e8d23b7ba2a9270502836e97dc93fe3479aa,3928528853.6424656,79.67069527195807,159.34139054391613,607251.6007515244,550454.3577809153,151,3928528853.6424656,79.67069527195807,0xb9dd0cb2d8526e6efd24a7684f51cb9f93a37df9,GameStop,GME,3928528853.6424656,151,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0xb9dd0cb2d8526e6efd24a7684f51cb9f93a37df9,GameStop,GME,3928528853.6424656,151,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
23,20010790,2024-6-3,0xc2a06a187fbf2a601f5bfc504aa8618f79fa7ffc,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0x737c2c7c92d0d69d1d728397fb75ae88abc5b462,GanjaCoin,Ganja,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x737c2c7c92d0d69d1d728397fb75ae88abc5b462,GanjaCoin,Ganja,0.0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
24,20010766,2024-6-3,0x80d03adf23f0328d729d2630d31facdc5f802b88,725876924.1273683,27.600059663247286,55.20011932649457,210450.72518293755,141421.3562373095,48,725876924.1273683,27.600059663247286,0x3db047603337ffa64ee57594ae522e2467c54d00,Super Maga,SMAGA,725876924.1273683,48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169,0x3db047603337ffa64ee57594ae522e2467c54d00,Super Maga,SMAGA,725876924.1273683,48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,294794.58866266353,168239169
